q,r,solar,wind,hydro,coal,gas,uranium,climate_risk,score
0,0,0.7124317258767731,0.12588358619217874,0.09877634349451134,2000000000,2937722.8456858266,0,6,0.6718163455013145
0,1,0.7629028684031552,0.0691019725866252,0.28999999999999954,1941331658.0794106,23063104.94716349,0,8,0.6663703376629012
-1,1,0.7629028684031552,0.22763809935362156,0.05733707078689383,1925158913.9461799,19791119.921454076,0,6,0.722605937980225
-1,0,0.7124317258767731,0.22504473977421516,0.01,2000000000,52522532.99193396,323908.7778401568,6,0.7386555466210994
0,-1,0.6591225015292298,0.17857178239917437,0.15883130834640607,2000000000,662379.1394300691,619743.5640962016,6,0.7384527409289066
1,-1,0.6591225015292298,0.24333902356480705,0.01,2000000000,30621567.303906824,647553.2296697943,6,0.7231060146192161
1,0,0.7124317258767731,0.1269943741160091,0.016190165446995707,1980033887.236537,46500491.52348471,0,6,0.6623778752169837
1,1,0.7629028684031552,0.277347261909321,0.12183759889974943,1675614976.4898267,17818627.837294556,0,6,0.7156725679446888
0,2,0.8097613292599009,0.04120776986395112,0.42999999999999955,1643157547.3879142,69400273.51189622,347909.12852105807,8,0.7317475994082205
-1,2,0.8097613292599009,0.36749385333412354,0.0658173432842613,1613309577.002167,0,0,6,0.7257520989031191
-2,2,0.8097613292599009,0.3080725848858555,0.05576990791914711,1581524525.1757128,0,0,6,0.6830191718039565
-2,1,0.7629028684031552,0.1617419752813185,0.18380656563596948,1921130940.2395601,75649573.00516067,93745.58888884721,6,0.8043935618544172
-2,0,0.7124317258767731,0.25453716299470014,0.08000671877611017,1916055835.6499057,64587452.99196508,0,6,0.7572516426425272
-1,-1,0.6591225015292298,0.16155306136591496,0.19414644898738279,2000000000,49163624.52285782,0,6,0.7492979588199522
0,-2,0.6040545535202011,0.3578516322954033,0.1366815926175523,2000000000,16187589.910279091,201584.30992459215,6,0.7763329279366826
1,-2,0.6040545535202011,0.1909646635121316,0.06247428291334693,2000000000,14568985.298790341,751619.0127200519,6,0.6887068514970913
2,-2,0.6040545535202011,0.26118978248914876,0.05889008125045657,1967469348.3428614,62259243.987481266,528813.7734660563,6,0.7397737163939149
2,-1,0.6591225015292298,0.24968494193650595,0.09519331127208153,1997688693.913424,1203293.738948119,0,6,0.7032862353761398
2,0,0.7124317258767731,0.21961183689368483,0.2699999999999995,1770597907.7310052,91597375.88491482,227266.08833019043,8,0.7351064283835458
2,1,0.7629028684031552,0.22208657469477747,0.41999999999999954,1292649801.3521888,25975605.503675632,830865.9335539237,8,0.7000896572550805
1,2,0.8097613292599009,0.11669226174243534,0.5099999999999996,1244733325.5331366,116408888.63181894,810815.2488258618,8,0.778045945239622
0,3,0.8524255975825791,0.42500811519162174,0.199,1166569952.954217,70965567.42686388,0,6,0.7899643657278766
-1,3,0.8524255975825791,0.44577503093200227,0.199,1153153589.1901276,39339545.55761686,0,6,0.7706150276129788
-2,3,0.8524255975825791,0.5464002931944368,0.06782184918582032,1123852563.0039124,94485364.11592762,0,6,0.7939967987799976
-3,3,0.8524255975825791,0.5056363827552675,0.09136859440100242,1082497637.4192014,65559033.54002193,0,6,0.7508914411388966
-3,2,0.8097613292599009,0.29030519578978575,0.1929093054422719,1581077311.8689477,42123005.05930455,0,6,0.7778119190525575
-3,1,0.7629028684031552,0.43510929812471916,0.10417687323026481,1543945591.9008586,21277200.454711713,925543.4215037547,6,0.8136544309178955
-3,0,0.7124317258767731,0.42314464994455575,0.022239135696231968,1514168910.5307841,49243586.74612717,834839.7040759046,6,0.7515838512748987
-2,-1,0.6591225015292298,0.28300466148628767,0.09264292976110594,1914691040.7914755,28134332.149575733,168954.07776630705,6,0.7309575272645399
-1,-2,0.6040545535202011,0.2448767344365855,0.04173047482384021,1897044677.9540446,33211300.463730447,640944.3192730553,6,0.6881695890011125
0,-3,0.5484872944746332,0.33972093859127817,0.17384885159648744,1890392587.9882967,67935503.73874134,0,6,0.7611714099730228
1,-3,0.5484872944746332,0.3111213597800574,0.199,1857470072.4805374,17040598.62898194,473249.3853153079,6,0.7383542995978474
2,-3,0.5484872944746332,0.4292157810404256,0.04304086285186057,1820232247.6340039,9804987.779305559,833003.7582879321,6,0.726553011298274
3,-3,0.5484872944746332,0.43637507401967124,0.0760606796298027,1662415812.9810522,38141405.94756129,126253.39648962891,6,0.6865813096731492
3,-2,0.6040545535202011,0.30884615821682515,0.17608404399849453,1725496991.571089,4979479.10811797,0,6,0.6808496653234692
3,-1,0.6591225015292298,0.33199882097258154,0.1178985251093444,1815158646.9172552,9945857.285166508,238113.51229475444,6,0.7323664332203395
3,0,0.7124317258767731,0.5809308956866668,0.0177549151004442,1344696935.973627,78796202.6564104,628663.5660573717,6,0.797664451854849
3,1,0.7629028684031552,0.6497984493313873,0.2799999999999995,653453445.5065042,36836619.43103751,376710.29469064384,8,0.6647693852137498
2,2,0.8097613292599009,0.748247959001528,0.199,639345463.7677147,63598631.5863472,608393.2694106097,6,0.8303809739875497
1,3,0.8524255975825791,0.4824377706335947,0.5799999999999996,573721800.9894243,81886414.1412835,0,9,0.719982191189778
0,4,0.8903527432567052,0.7749650391183651,0.1752950431875335,528215279.6389649,44809572.30768701,354389.377268041,6,0.8128459381372826
-1,4,0.8903527432567052,0.7171271141279685,0.11042700105163299,522111986.97025406,64294651.73957715,113923.10827827352,6,0.7510999684146035
-2,4,0.8903527432567052,0.4180251588057148,0.6099999999999997,484711159.43908846,118939684.02364337,837897.968856575,9,0.7828100574765409
-3,4,0.8903527432567052,0.3863884416079712,0.5899999999999996,440231834.88585454,33632239.831078015,105403.76768925402,9,0.628812925143699
-4,4,0.8903527432567052,0.5314632960921921,0.5699999999999996,398733290.66710496,20460804.056389682,0,9,0.6634541910635304
-4,3,0.8524255975825791,0.40756122780991316,0.43999999999999956,1048309551.2301686,111458535.62626666,205187.80786020003,8,0.8187794742661829
-4,2,0.8097613292599009,0.4881785275657389,0.34999999999999953,1020875088.7008773,33071106.549788386,0,8,0.7076141939363259
-4,1,0.7629028684031552,0.5609130951586146,0.08541346771458015,979974520.7331661,56769591.60658164,225495.73722901123,6,0.7118812839243132
-4,0,0.7124317258767731,0.6507300259384987,0.06145522828895911,949382062.9625164,26099644.235722747,341664.0694555557,6,0.6936068041703932
-3,-1,0.6591225015292298,0.4866183590162632,0.10682644873879767,1488933006.1788342,39105066.230532035,80833.53688273417,6,0.7370588404866173
-2,-2,0.6040545535202011,0.596204898531011,0.04637258921269589,1466740535.5488942,106478478.1576086,691068.3570880321,6,0.8229323985903529
-1,-3,0.5484872944746332,0.5927444805892338,0.12760721242037876,1456030794.090134,37528676.485061154,0,6,0.7305954601315845
0,-4,0.49382825810962444,0.5595973939278415,0.027438392459971837,1446562669.0781553,91997085.10416801,559358.0936030752,6,0.7145715628262495
1,-4,0.49382825810962444,0.5668575575676491,0.10621855499248586,1417822970.3004913,49919300.41217523,0,6,0.6803401948827923
2,-4,0.49382825810962444,0.7493340932264945,0.08830417025691992,1381119717.5541818,0,3920.849917979946,6,0.7121300093068732
3,-4,0.49382825810962444,0.6143068000182939,0.04672842436185319,1355172525.4875286,60458943.525878586,922580.6155306596,6,0.7251563264141262
4,-4,0.49382825810962444,0.6593196229641304,0.14686162306629763,1208289192.3156703,94345879.09590574,812216.587815055,6,0.7824199654418608
4,-3,0.5484872944746332,0.6908542961566886,0.06724476436684637,1279853418.532072,74498241.3764328,0,6,0.7362396802093629
4,-2,0.6040545535202011,0.5188259401032,0.16850550781551882,1318960509.7479596,26588479.74909242,118758.976432703,6,0.7058767415995205
4,-1,0.6591225015292298,0.4942809746329347,0.0741511900975721,1354287482.7077205,69556552.56925832,140549.16771281057,6,0.7199786946995422
4,0,0.7124317258767731,0.7611477311487542,0.037440955988285035,679631527.7915506,105439923.34248112,409531.12503004,6,0.739786008115458
4,1,0.7629028684031552,0.7057810703298267,0.048466655000829494,891145613.4363965,45419938.3430584,660738.9762512502,6,0.7614399644789313
3,2,0.8097613292599009,0.7663897506735314,0.199,561733719.9083995,86486490.45866245,0,6,0.8010616785358051
2,3,0.8524255975825791,0.855691213036763,0.17336232841665156,288592371.1082135,8036751.908185644,145385.64284784056,6,0.72956466716325
1,4,0.8903527432567052,0.760726148194036,0.5999999999999996,66180014.47314895,88899764.76128957,65297.13593603933,9,0.7711927262671272
0,5,0.9230847432512889,0.6629499516648848,0.6199999999999997,341596497.2017069,14902657.856308129,80394.54418990458,9,0.7567864452510016
-1,5,0.9230847432512889,0.47772257112493244,0.01,278707163.83776927,99672634.55858526,5081215.016976241,6,0.8767902531332722
-2,5,0.9230847432512889,0.6959883636217481,0.6299999999999997,123470129.85917889,89857500.58875203,325152.4858455433,9,0.8015886450620472
-3,5,0.9230847432512889,0.5724309338052564,0.199,373583108.19409925,42064586.60207989,2969716.276510486,6,0.8623703903339194
-4,5,0.9230847432512889,0.9025899846766728,0.038332055104456426,335836635.99369526,68984068.77936506,0,6,0.7743972660153912
-5,5,0.9230847432512889,0.7586395272033176,0.44999999999999957,197622427.8278007,97228550.63824172,0,8,0.7972675229127457
-5,4,0.8903527432567052,0.9098071835596694,0.15462913190565275,349620555.03230935,9465558.173222717,0,6,0.773634691262609
-5,3,0.8524255975825791,0.9439887975114591,0.07647261817900879,325426695.69680494,59271261.22890786,0,6,0.7681332215333793
-5,2,0.8097613292599009,0.9388453421777585,0.2499999999999995,287200729.5097954,60714525.70249101,813381.6959026274,8,0.7734821834797844
-5,1,0.7629028684031552,0.9490527917392069,0.11034031418961614,282883418.30702645,92859153.99424756,904639.3658782948,6,0.8167913193544427
-5,0,0.7124317258767731,0.5202495123547103,0.11809072686823505,280019031.57088226,84600622.09887856,4700992.345891107,6,0.8106957073456762
-4,-1,0.6591225015292298,0.8171721204499047,0.1730715196979546,906512576.8118285,95932942.23455542,0,6,0.8322741760871402
-3,-2,0.6040545535202011,0.7990310684490222,0.08701804682381631,906414334.406555,50613669.130153425,0,6,0.71470839798669
-2,-3,0.5484872944746332,0.9840847615632133,0.1478840322143986,857043604.7863873,56059770.85006204,0,6,0.8021874323514587
-1,-4,0.49382825810962444,0.9466714403358071,0.1382585633043674,827777804.0842092,48815903.24016468,621571.4338740221,6,0.7768026519917842
